wallet_address,risk_score,risk_category,first_seen_date,total_transaction_count,known_entity,sanctioned_flag,score_date
1rv82fTB9XrX8A3iKfmD19e7Ufz4zISUil,21,low,2022-01-31,4,,False,2025-03-14
0xxIcZZsICbaq7ZDO3zEQphr9eUKJ1MDRhFJ0kdt2i,69,high,2022-11-08,78,,False,2025-03-14
LdwN7dsNemMVLkut0XqRwHviirWz5knFZX,23,low,2022-06-11,2,,False,2025-03-14
0xIQ70SRXz4hibvQiB9G8ksUhhRQtn8AVgbEAmcOKD,11,low,2022-04-29,87,,False,2025-03-14
3csafhLKmPbjUrJv1WMFeYVGS7kUaS550D,15,low,2021-03-10,220,,False,2025-03-14
0xRlPgZ8AFzVtCGEwrSfExCTQ0oz9A13X6waPPyGPh,6,low,2022-11-05,50,,False,2025-03-14
3yKg58e8uK9hZSrSKqWNyDLzErVgpEMigd,52,high,2022-05-14,50,,False,2025-03-14
1EblLusMVOGECsEFHYHbV92hB0BckOW2kA,35,medium,2021-04-29,9,,False,2025-03-14
3SEgPOQJD0FyE8Mv8tbcZvUb3vgvwvOpOK,10,low,2023-03-20,2,Binance.US,False,2025-03-14
0x4esubuC1J3qRK9xyJYgPuFVvMwBE0W0Hrc9yoUf0,72,high,2022-01-11,35,,False,2025-03-14
0xfueXDnXOsXAHmyMCVlbR1Jn7UC6HMVAJMGwjjQsA,6,low,2023-10-31,3,,False,2025-03-14
314N0qrjQoojbXtE9A4mqbWrINcSWd3tsd,31,medium,2024-09-09,23,Major Exchange,False,2025-03-14
33P2y00oJFhPJWGEfLVtZTXU6ngnrz1dHR,25,low,2021-10-14,522,,False,2025-03-14
1tAQ726wSYb7L0P6QWoIt7wYh11y4y8pfZ,25,low,2022-12-10,32,,False,2025-03-14
0xon34N2Vzc1Z6Dz0S2YZRFvLYTCbdNNXiyMtfjG8Z,56,high,2021-04-28,51,,False,2025-03-14
10QXtDTqQZXmzl262n65OM48mRkyAqfw6h,11,low,2022-10-23,31,Coinbase Hot Wallet,False,2025-03-14
0xSA5CPhSl1WrEi1L9rPzzjrqM4wQCaiuQQSRTpfdu,12,low,2022-02-12,13,,False,2025-03-14
1DvLPXRYaFx8Pi3clkEvDfSAqt8E8rwA3q,69,high,2022-12-10,26,,False,2025-03-14
3GBkTE6I5NBldlDkCh3EB9ICgSjvmrZUYI,37,medium,2022-08-26,1286,,False,2025-03-14
0xPn9aVl5pEfur8hx5gubCRDMqOucMC694Xi1XrXUH,21,low,2022-11-30,19,,False,2025-03-14
bc1xyl71f0kWrUOhEAXtQiPZFE2DIAUYMAAcvCnQjE,25,low,2023-11-13,29,Coinbase Hot Wallet,False,2025-03-14
bc1OfDeXs9QspAJI4FFzCSYwKVbTCW0czRtSUBYv4Y,18,low,2024-06-22,25,,False,2025-03-14
0xne8qPAbyaOCzOUTsYMQ7PXfilYRlbDio01HfVjAh,30,medium,2024-01-27,150,Coinbase Hot Wallet,False,2025-03-14
0x3TBEbBpsZyug0AzEJT9cyFS541odbJIqO3hMOBBk,22,low,2023-10-11,45,,False,2025-03-14
0xTDBFKQ50SD2Syz6OwD8kmQfDkjEX6EoI9wqPk1FY,1,low,2021-03-14,161,,False,2025-03-14
0xuhoIE9WVVI302Lgd6X7U8WL1gIFkhmwTRVE1jwYh,11,low,2021-05-25,409,,False,2025-03-14
LBzVpYvFfxUwPjUAoXzzC0XwbjaX6ft8kd,55,high,2021-04-01,56,,False,2025-03-14
1ON3dNSOGsyQIsU4arG5RBmHWOR3Wzmscu,42,medium,2022-05-17,53,Kraken,False,2025-03-14
0xSTh9rfIGUjbXKoVT9gdxMvcOhsTC8X9J3MHKvrWS,65,high,2021-11-30,160,,False,2025-03-14
bc1ixTgGlWCjAzfAinePyIW2KN9Q6TzkFEC8FGRCcj,25,low,2023-05-30,24,,False,2025-03-14
bc1w7LzhJcjx9sEXiKd33nYEhv1zJJ3WDSLVFCBB1u,27,medium,2023-07-12,4,,False,2025-03-14
0xXPzoyH73TO1RJXRIhIlMJdJlD3h6lbWpR3BYLyc1,17,low,2021-07-09,11,Gemini,False,2025-03-14
1vlbGxf8HrlVj7Qd7lSsgi3p63doLoFF6q,2,low,2024-06-03,11,,False,2025-03-14
MCzEzo2q7PpIWszfNm8x9WHA4CaCZr8a5D,7,low,2021-08-16,108,,False,2025-03-14
bc1pQ90n0rkHefRZS92nFX26N8RqPtn7u4i5LaakIR,14,low,2024-12-10,8,,False,2025-03-14
MVHWOebZPPvYZwkVRaC6Bnbr5wfMsSoEwr,23,low,2022-08-11,26,,False,2025-03-14
bc1RmmYy1JEIOJQJeheqJoGWlQ9QHpIC6N6d6A9qQC,24,low,2022-03-02,8,Coinbase Hot Wallet,False,2025-03-14
0xwV2nrABamfJbT8AepktMfDYKMupgovduX6WMVMJf,57,high,2022-03-28,241,,False,2025-03-14
L4x3QWdXdLAgdd0yMz1WMCCAMgOPbGKgaS,37,medium,2025-01-16,36,,False,2025-03-14
bc1WmJNpASBpXdtB7Ut2WjtvwaKQdFZ1Amm4WvPR8L,6,low,2021-05-17,1331,,False,2025-03-14
M0Jusug24E5NQCnDVYYxyZaawIiBN4w8mr,9,low,2022-05-25,10,,False,2025-03-14
L2SvIlb04bQxWg6soYO68922ei5XlxxL8p,33,medium,2021-03-28,28,,False,2025-03-14
LVK0sjpNrhFKETWXMky2UxGlSGD7DKNXOm,20,low,2023-02-04,17,,False,2025-03-14
LConAxj0pfUsGocFuBAwEqbBqe3sFHeroh,16,low,2021-07-02,37,,False,2025-03-14
0xwHuPpUV0lLi1SHqVrv96YUaO961oSnoKIDYvf0A6,23,low,2022-12-05,9,Gemini,False,2025-03-14
3mBIxJh6aYZvzQzWHubW5j7uNLL18myHlg,17,low,2021-09-22,75,,False,2025-03-14
bc17NskPlZLbm4xmsGCwau4y9izUy4m1tYPjJtmSCm,13,low,2021-09-30,80,,False,2025-03-14
1BZLpuJECcfO4v0XyZ0zlMAxORfRc2j2HP,20,low,2024-09-03,33,,False,2025-03-14
0xeT34zVhwUFWzkmcbNPCvymcpRiPCCfOSBDrkZLkh,0,low,2021-05-21,4,,False,2025-03-14
bc1yeVPjwncPnRZYNS3ytdaVV5xofA9ulPn2XZkkzg,15,low,2024-11-26,52,Gemini,False,2025-03-14
3uMM5yAoguaOannOrMc2zVE9SX5JpfuNy5,46,medium,2023-02-26,1,,False,2025-03-14
bc1ikVQ8Peb4BFTFRabVhoApeiEmxNoS9B2itWcXzY,74,high,2024-10-01,334,,False,2025-03-14
LoTvmd49XRn2GlNeE7d96hkIXmFACkmALs,8,low,2021-11-10,21,,False,2025-03-14
bc1BNqWe8ykBFTVYXbx0V5KjTpCCxLeiDjlaFSE568,6,low,2022-04-23,3,Payment Processor,False,2025-03-14
Mxt9e29h5kV7VUvRNwdxApD5wRbPjL6jpJ,36,medium,2021-03-17,54,,False,2025-03-14
0xPkhfSxR8e42kAQFH2KTU51gJXYqmURakEgVzzrAk,35,medium,2023-11-29,203,Kraken,False,2025-03-14
0xliEFgJnmUYl82B4gNefhdboEVaq7PWcnXxG7qEUL,48,medium,2021-03-02,15,,False,2025-03-14
0xuQvtowyL82Xa1yZ5bhG6UpCQ1FOaN6tN28TQoETX,3,low,2023-07-07,50,,False,2025-03-14
3A55914TsmiGJ1FhXsPI2kBhPonUOfASj5,22,low,2022-04-09,3,Major Exchange,False,2025-03-14
0x3VnpD3hiHSfQ25VLNxSTxNI1YnhffT6Uhw07JadH,0,low,2021-12-01,23,,False,2025-03-14
